FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區普仁里24鄰實踐路91巷1號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,1號,121.24123899741,24.954702482268
桃園市中壢區普仁里25鄰實踐路11巷1號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,1號,121.2426898865,24.953627553297
桃園市中壢區普仁里25鄰實踐路11巷2號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,2號,121.24252268144,24.953758466359
桃園市中壢區普仁里25鄰實踐路11巷2之1號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,2之1號,121.24248627576,24.953727197124
桃園市中壢區普仁里25鄰實踐路11巷3號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,3號,121.24265951993,24.953595371427
桃園市中壢區普仁里25鄰實踐路3號,68,6800200,6800200-016,25鄰,實踐路,,,,,,3號,121.24294357329,24.953510944452
桃園市中壢區普仁里24鄰實踐路91巷3號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,3號,121.24116535239,24.95466946734
桃園市中壢區普仁里24鄰實踐路91巷5號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,5號,121.24111180185,24.954631815375
桃園市中壢區普仁里25鄰實踐路5號,68,6800200,6800200-016,25鄰,實踐路,,,,,,5號,121.24285866678,24.953593060647
桃園市中壢區普仁里25鄰實踐路11巷5號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,5號,121.24261915322,24.95356419896
桃園市中壢區普仁里25鄰實踐路11巷6號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,6號,121.24245295633,24.953704228972
桃園市中壢區普仁里24鄰實踐路91巷7號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,7號,121.24106836872,24.954602453132
桃園市中壢區普仁里25鄰實踐路11巷7號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,7號,121.24258375416,24.953541234224
桃園市中壢區普仁里25鄰實踐路7號,68,6800200,6800200-016,25鄰,實踐路,,,,,,7號,121.24275568291,24.953647850243
桃園市中壢區普仁里25鄰實踐路11巷8號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,8號,121.24242159065,24.953667534486
桃園市中壢區普仁里24鄰實踐路91巷9號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,9號,121.24102086461,24.954567590147
桃園市中壢區普仁里25鄰實踐路11巷9號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,9號,121.24254338378,24.95350816578
桃園市中壢區普仁里25鄰實踐路9號,68,6800200,6800200-016,25鄰,實踐路,,,,,,9號,121.24270138848,24.953685406515
桃園市中壢區普仁里25鄰實踐路11巷10號,68,6800200,6800200-016,25鄰,實踐路,,11巷,,,,10號,121.24239824631,24.953630736657
桃園市中壢區普仁里24鄰實踐路91巷11號,68,6800200,6800200-016,24鄰,實踐路,,91巷,,,,11號,121.24097436331,24.95453913568
桃園市中壢區普仁里25鄰實踐路13號,68,6800200,6800200-016,25鄰,實踐路,,,,,,13號,121.24260105764,24.953780187433
桃園市中壢區普仁里25鄰實踐路15號,68,6800200,6800200-016,25鄰,實踐路,,,,,,15號,121.24255012148,24.953813314272
桃園市中壢區普仁里25鄰實踐路21號,68,6800200,6800200-016,25鄰,實踐路,,,,,,21號,121.2422866678,24.953848231438
桃園市中壢區普仁里25鄰實踐路23號,68,6800200,6800200-016,25鄰,實踐路,,,,,,23號,121.2423954421,24.953867646079
桃園市中壢區普仁里25鄰實踐路25號,68,6800200,6800200-016,25鄰,實踐路,,,,,,25號,121.24232979222,24.953972843305
桃園市中壢區普仁里25鄰實踐路27號,68,6800200,6800200-016,25鄰,實踐路,,,,,,27號,121.24212710715,24.953938594168
桃園市中壢區普仁里25鄰實踐路29號,68,6800200,6800200-016,25鄰,實踐路,,,,,,29號,121.24224921108,24.954038971873
桃園市中壢區普仁里25鄰實踐路31號,68,6800200,6800200-016,25鄰,實踐路,,,,,,31號,121.24220976533,24.954073614734
桃園市中壢區普仁里25鄰實踐路33號,68,6800200,6800200-016,25鄰,實踐路,,,,,,33號,121.24217191572,24.954114213724
桃園市中壢區普仁里25鄰實踐路35號,68,6800200,6800200-016,25鄰,實踐路,,,,,,35號,121.24211928395,24.954141294153
桃園市中壢區普仁里24鄰實踐路55號,68,6800200,6800200-016,24鄰,實踐路,,,,,,55號,121.24187202313,24.954354675461
桃園市中壢區普仁里24鄰實踐路55之1號,68,6800200,6800200-016,24鄰,實踐路,,,,,,55之1號,121.24183378424,24.954398886352
桃園市中壢區普仁里24鄰實踐路57號,68,6800200,6800200-016,24鄰,實踐路,,,,,,57號,121.24180552405,24.954431073282
桃園市中壢區普仁里24鄰實踐路59號,68,6800200,6800200-016,24鄰,實踐路,,,,,,59號,121.24176827367,24.954474379712
桃園市中壢區普仁里24鄰實踐路61號,68,6800200,6800200-016,24鄰,實踐路,,,,,,61號,121.24172199712,24.954510387788
桃園市中壢區普仁里24鄰實踐路65號,68,6800200,6800200-016,24鄰,實踐路,,,,,,65號,121.2416967961,24.954537062418
桃園市中壢區普仁里24鄰實踐路81號,68,6800200,6800200-016,24鄰,實踐路,,,,,,81號,121.24143976536,24.954667217142
桃園市中壢區普仁里24鄰實踐路83號,68,6800200,6800200-016,24鄰,實踐路,,,,,,83號,121.24140954954,24.954712317758
桃園市中壢區普仁里24鄰實踐路85號,68,6800200,6800200-016,24鄰,實踐路,,,,,,85號,121.24138139718,24.954749108909
桃園市中壢區普仁里24鄰實踐路87號,68,6800200,6800200-016,24鄰,實踐路,,,,,,87號,121.24134214621,24.954782306683
桃園市中壢區普仁里24鄰實踐路89號,68,6800200,6800200-016,24鄰,實踐路,,,,,,89號,121.24132202083,24.954821883617
桃園市中壢區普仁里24鄰實踐路95號,68,6800200,6800200-016,24鄰,實踐路,,,,,,95號,121.24116085188,24.954951882529
桃園市中壢區普仁里24鄰實踐路97號,68,6800200,6800200-016,24鄰,實踐路,,,,,,97號,121.24108831304,24.955029282929
桃園市中壢區普仁里22鄰實踐路109號,68,6800200,6800200-016,22鄰,實踐路,,,,,,109號,121.24075596783,24.955338320379
桃園市中壢區普仁里22鄰實踐路125號,68,6800200,6800200-016,22鄰,實踐路,,,,,,125號,121.24021849331,24.955733457689
桃園市中壢區普仁里21鄰實踐路215號,68,6800200,6800200-016,21鄰,實踐路,,,,,,215號,121.23901307369,24.957019413624
桃園市中壢區普仁里21鄰實踐路217號,68,6800200,6800200-016,21鄰,實踐路,,,,,,217號,121.23897756669,24.957043305529
桃園市中壢區普仁里21鄰實踐路219號,68,6800200,6800200-016,21鄰,實踐路,,,,,,219號,121.2389591072,24.957074302501
桃園市中壢區普仁里27鄰實踐路221號,68,6800200,6800200-016,27鄰,實踐路,,,,,,221號,121.2390721252,24.957238708581
桃園市中壢區普仁里27鄰實踐路223號,68,6800200,6800200-016,27鄰,實踐路,,,,,,223號,121.23907533909,24.957313187587
桃園市中壢區普仁里27鄰實踐路223之1號,68,6800200,6800200-016,27鄰,實踐路,,,,,,223之1號,121.23897654828,24.957285267847
桃園市中壢區普仁里27鄰實踐路225號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之1號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之1號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之2號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之2號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之3號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之3號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之5號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之5號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之6號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之6號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之7號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之7號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之8號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之8號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之9號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之9號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之10號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之10號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之11號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之11號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之12號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之12號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之13號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之13號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之14號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之14號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之15號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之15號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之16號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之16號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之17號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之17號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之18號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之18號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之19號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之19號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之20號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之20號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之21號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之21號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之22號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之22號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之23號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之23號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之24號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之24號,121.23878097974,24.95745152318
桃園市中壢區普仁里27鄰實踐路225之25號,68,6800200,6800200-016,27鄰,實踐路,,,,,,225之25號,121.23878097974,24.95745152318
