FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區幸福里15鄰幸福十三街1號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,1號,121.33610914698,24.986091473084
桃園市龜山區幸福里15鄰幸福十三街2號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,2號,121.33631865789,24.986057414498
桃園市龜山區幸福里15鄰幸福十三街3號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,3號,121.33611896944,24.986170177667
桃園市龜山區幸福里15鄰幸福十三街4號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,4號,121.33632848048,24.986136119066
桃園市龜山區幸福里15鄰幸福十三街5號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,5號,121.33612878381,24.986245902928
桃園市龜山區幸福里15鄰幸福十三街6號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,6號,121.33633010919,24.986225044128
桃園市龜山區幸福里15鄰幸福十三街7號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,7號,121.33614811569,24.986324586029
桃園市龜山區幸福里15鄰幸福十三街8號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,8號,121.33634686966,24.986305177541
桃園市龜山區幸福里15鄰幸福十三街9號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,9號,121.33616955502,24.986486144146
桃園市龜山區幸福里15鄰幸福十三街10號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,10號,121.33635633966,24.986472721357
桃園市龜山區幸福里15鄰幸福十三街11號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,11號,121.33618901768,24.986576473448
桃園市龜山區幸福里15鄰幸福十三街12號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,12號,121.33636950241,24.986577600434
桃園市龜山區幸福里15鄰幸福十三街13號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,13號,121.33620527634,24.986690644692
桃園市龜山區幸福里15鄰幸福十三街14號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,14號,121.33638573593,24.986682472566
桃園市龜山區幸福里15鄰幸福十三街15號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,15號,121.33621509537,24.986804469348
桃園市龜山區幸福里15鄰幸福十三街16號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,16號,121.33640519878,24.986772801835
桃園市龜山區幸福里15鄰幸福十三街17號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,17號,121.33623931898,24.986897044958
桃園市龜山區幸福里15鄰幸福十三街18號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,18號,121.33642143236,24.986877673961
桃園市龜山區幸福里15鄰幸福十三街19號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,19號,121.33624819326,24.986991280337
桃園市龜山區幸福里15鄰幸福十三街20號,68,6800700,6800700-022,15鄰,幸福十三街,,,,,,20號,121.3364313342,24.986985449452
桃園市龜山區幸福里16鄰幸福十三街21號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,21號,121.33626233188,24.987163598594
桃園市龜山區幸福里16鄰幸福十三街22號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,22號,121.33648760315,24.987169048091
桃園市龜山區幸福里16鄰幸福十三街23號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,23號,121.33627849416,24.987242288828
桃園市龜山區幸福里16鄰幸福十三街24號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,24號,121.33649369177,24.9872587756
桃園市龜山區幸福里16鄰幸福十三街25號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,25號,121.33628514677,24.987320910266
桃園市龜山區幸福里16鄰幸福十三街26號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,26號,121.33650780401,24.987348484965
桃園市龜山區幸福里16鄰幸福十三街27號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,27號,121.33629811545,24.987390850264
桃園市龜山區幸福里16鄰幸福十三街28號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,28號,121.33652084434,24.987444697126
桃園市龜山區幸福里16鄰幸福十三街29號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,29號,121.33630789836,24.987454929067
桃園市龜山區幸福里16鄰幸福十三街30號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,30號,121.33653654177,24.987534493184
桃園市龜山區幸福里16鄰幸福十三街31號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,31號,121.33631773678,24.987539411695
桃園市龜山區幸福里16鄰幸福十三街32號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,32號,121.33654733283,24.987641363816
桃園市龜山區幸福里16鄰幸福十三街33號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,33號,121.33632425893,24.987606477202
桃園市龜山區幸福里16鄰幸福十三街35號,68,6800700,6800700-022,16鄰,幸福十三街,,,,,,35號,121.33633089587,24.987679320559
