FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區文化里1鄰復興北路1號,68,6800700,6800700-020,1鄰,復興北路,,,,,,1號,121.36890762548,25.059788359933
桃園市龜山區文化里2鄰復興北路2號,68,6800700,6800700-020,2鄰,復興北路,,,,,,2號,121.36885786085,25.059487483711
桃園市龜山區文化里2鄰復興北路2之1號,68,6800700,6800700-020,2鄰,復興北路,,,,,,2之1號,121.36891535328,25.059423150472
桃園市龜山區文化里1鄰復興北路5號,68,6800700,6800700-020,1鄰,復興北路,,,,,,5號,121.36905971061,25.059636940446
桃園市龜山區文化里2鄰復興北路6巷6號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,6號,121.3688626038,25.059383286621
桃園市龜山區文化里1鄰復興北路7號,68,6800700,6800700-020,1鄰,復興北路,,,,,,7號,121.36905971061,25.059636940446
桃園市龜山區文化里2鄰復興北路6巷8號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,8號,121.368808416,25.059359586783
桃園市龜山區文化里1鄰復興北路9號,68,6800700,6800700-020,1鄰,復興北路,,,,,,9號,121.36905971061,25.059636940446
桃園市龜山區文化里2鄰復興北路6巷10號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,10號,121.36876957258,25.059329709654
桃園市龜山區文化里2鄰復興北路6巷12號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,12號,121.36872866776,25.059306518493
桃園市龜山區文化里1鄰復興北路13號,68,6800700,6800700-020,1鄰,復興北路,,,,,,13號,121.36918537644,25.059500482996
桃園市龜山區文化里2鄰復興北路6巷14號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,14號,121.36867852399,25.059276217987
桃園市龜山區文化里1鄰復興北路15號,68,6800700,6800700-020,1鄰,復興北路,,,,,,15號,121.36927459796,25.05947335716
桃園市龜山區文化里2鄰復興北路6巷16號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,16號,121.36863986427,25.059241465144
桃園市龜山區文化里3鄰復興北路6巷17號,68,6800700,6800700-020,3鄰,復興北路,,6巷,,,,17號,121.36863202253,25.058972534822
桃園市龜山區文化里1鄰復興北路17號,68,6800700,6800700-020,1鄰,復興北路,,,,,,17號,121.36929958272,25.059442870032
桃園市龜山區文化里2鄰復興北路6巷18號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,18號,121.3685240351,25.059154179178
桃園市龜山區文化里3鄰復興北路6巷19號,68,6800700,6800700-020,3鄰,復興北路,,6巷,,,,19號,121.36844010444,25.05879614883
桃園市龜山區文化里1鄰復興北路19號,68,6800700,6800700-020,1鄰,復興北路,,,,,,19號,121.3693412187,25.059412341489
桃園市龜山區文化里21鄰復興北路20號,68,6800700,6800700-020,21鄰,復興北路,,,,,,20號,121.36928897538,25.058979208587
桃園市龜山區文化里2鄰復興北路6巷20號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,20號,121.36843269859,25.059103757656
桃園市龜山區文化里2鄰復興北路6巷20之1號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,20之1號,121.36835830608,25.059051759258
桃園市龜山區文化里3鄰復興北路6巷21號,68,6800700,6800700-020,3鄰,復興北路,,6巷,,,,21號,121.36832911804,25.058737199207
桃園市龜山區文化里1鄰復興北路21號,68,6800700,6800700-020,1鄰,復興北路,,,,,,21號,121.36937452905,25.059381833642
桃園市龜山區文化里21鄰復興北路22號,68,6800700,6800700-020,21鄰,復興北路,,,,,,22號,121.36931810011,25.05894112748
桃園市龜山區文化里1鄰復興北路23號,68,6800700,6800700-020,1鄰,復興北路,,,,,,23號,121.36939949104,25.059343762875
桃園市龜山區文化里1鄰復興北路25號,68,6800700,6800700-020,1鄰,復興北路,,,,,,25號,121.36944111558,25.059309442493
桃園市龜山區文化里1鄰復興北路25之1號,68,6800700,6800700-020,1鄰,復興北路,,,,,,25之1號,121.36947397504,25.059227745911
桃園市龜山區文化里1鄰復興北路25之2號,68,6800700,6800700-020,1鄰,復興北路,,,,,,25之2號,121.36950679488,25.059198954611
桃園市龜山區文化里21鄰復興北路26號,68,6800700,6800700-020,21鄰,復興北路,,,,,,26號,121.3693472332,25.058905845087
桃園市龜山區文化里2鄰復興北路6巷26號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,26號,121.36825122954,25.058974562937
桃園市龜山區文化里2鄰復興北路6巷28號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,28號,121.36816453167,25.058917448883
桃園市龜山區文化里21鄰復興北路28號,68,6800700,6800700-020,21鄰,復興北路,,,,,,28號,121.36938301369,25.058872803201
桃園市龜山區文化里21鄰復興北路30號,68,6800700,6800700-020,21鄰,復興北路,,,,,,30號,121.36941322157,25.058832372052
桃園市龜山區文化里1鄰復興北路31號,68,6800700,6800700-020,1鄰,復興北路,,,,,,31號,121.36953725195,25.059142452641
桃園市龜山區文化里21鄰復興北路32號,68,6800700,6800700-020,21鄰,復興北路,,,,,,32號,121.36944234622,25.058794290922
桃園市龜山區文化里1鄰復興北路33號,68,6800700,6800700-020,1鄰,復興北路,,,,,,33號,121.3695653836,25.059103741986
桃園市龜山區文化里1鄰復興北路33之1號,68,6800700,6800700-020,1鄰,復興北路,,,,,,33之1號,121.36962230899,25.059180971898
桃園市龜山區文化里1鄰復興北路33之2號,68,6800700,6800700-020,1鄰,復興北路,,,,,,33之2號,121.36970625093,25.059244231121
桃園市龜山區文化里1鄰復興北路35號,68,6800700,6800700-020,1鄰,復興北路,,,,,,35號,121.36969675856,25.059053579389
桃園市龜山區文化里21鄰復興北路36號,68,6800700,6800700-020,21鄰,復興北路,,,,,,36號,121.36947565638,25.058763783052
桃園市龜山區文化里1鄰復興北路37號,68,6800700,6800700-020,1鄰,復興北路,,,,,,37號,121.36972589455,25.059019290016
桃園市龜山區文化里21鄰復興北路38號,68,6800700,6800700-020,21鄰,復興北路,,,,,,38號,121.3695125154,25.05872685633
桃園市龜山區文化里1鄰復興北路39號,68,6800700,6800700-020,1鄰,復興北路,,,,,,39號,121.36976848592,25.058976932046
桃園市龜山區文化里1鄰復興北路41號,68,6800700,6800700-020,1鄰,復興北路,,,,,,41號,121.36980534546,25.058940185815
桃園市龜山區文化里2鄰復興北路6巷42號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,42號,121.3679317069,25.058816458746
桃園市龜山區文化里1鄰復興北路43號,68,6800700,6800700-020,1鄰,復興北路,,,,,,43號,121.36984278583,25.058898833752
桃園市龜山區文化里1鄰復興北路45號,68,6800700,6800700-020,1鄰,復興北路,,,,,,45號,121.36988094708,25.058866508073
桃園市龜山區文化里2鄰復興北路6巷46號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,46號,121.36778054801,25.058713821505
桃園市龜山區文化里21鄰復興北路46號,68,6800700,6800700-020,21鄰,復興北路,,,,,,46號,121.3696993289,25.05855584888
桃園市龜山區文化里1鄰復興北路47號,68,6800700,6800700-020,1鄰,復興北路,,,,,,47號,121.36998705445,25.058752669133
桃園市龜山區文化里21鄰復興北路48號,68,6800700,6800700-020,21鄰,復興北路,,,,,,48號,121.36972854113,25.058513975636
桃園市龜山區文化里2鄰復興北路6巷48號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,48號,121.3675907851,25.058594848357
桃園市龜山區文化里1鄰復興北路49號,68,6800700,6800700-020,1鄰,復興北路,,,,,,49號,121.37002104199,25.058716742541
桃園市龜山區文化里21鄰復興北路50號,68,6800700,6800700-020,21鄰,復興北路,,,,,,50號,121.36977273088,25.058475856934
桃園市龜山區文化里2鄰復興北路6巷50號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,50號,121.36753229372,25.058556984437
桃園市龜山區文化里1鄰復興北路51號,68,6800700,6800700-020,1鄰,復興北路,,,,,,51號,121.3700628595,25.05868079643
桃園市龜山區文化里21鄰復興北路52號,68,6800700,6800700-020,21鄰,復興北路,,,,,,52號,121.36980184396,25.058433983921
桃園市龜山區文化里2鄰復興北路6巷52號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,52號,121.36745690755,25.058503904653
桃園市龜山區文化里1鄰復興北路53號,68,6800700,6800700-020,1鄰,復興北路,,,,,,53號,121.37009683994,25.058642522508
桃園市龜山區文化里2鄰復興北路6巷54號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,54號,121.3674109385,25.058477385221
桃園市龜山區文化里1鄰復興北路55號,68,6800700,6800700-020,1鄰,復興北路,,,,,,55號,121.37017446212,25.058548706718
桃園市龜山區文化里2鄰復興北路6巷58號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,58號,121.3673415483,25.058407498106
桃園市龜山區文化里2鄰復興北路6巷58之1號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,58之1號,121.3673415483,25.058407498106
桃園市龜山區文化里2鄰復興北路6巷60號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,60號,121.36726003932,25.058361836481
桃園市龜山區文化里3鄰復興北路6巷65號,68,6800700,6800700-020,3鄰,復興北路,,6巷,,,,65號,121.36731275948,25.058092936816
桃園市龜山區文化里2鄰復興北路6巷66號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,66號,121.36716143768,25.058301049708
桃園市龜山區文化里3鄰復興北路6巷67號,68,6800700,6800700-020,3鄰,復興北路,,6巷,,,,67號,121.36723610459,25.05804636035
桃園市龜山區文化里2鄰復興北路6巷68號,68,6800700,6800700-020,2鄰,復興北路,,6巷,,,,68號,121.36707357482,25.058251792411
桃園市龜山區文化里1鄰復興北路75號,68,6800700,6800700-020,1鄰,復興北路,,,,,,75號,121.3704659466,25.058281287149
桃園市龜山區文化里1鄰復興北路81號,68,6800700,6800700-020,1鄰,復興北路,,,,,,81號,121.3706338899,25.05813109044
桃園市龜山區文化里21鄰復興北路88號,68,6800700,6800700-020,21鄰,復興北路,,,,,,88號,121.37036484279,25.057850172386
桃園市龜山區文化里21鄰復興北路90號,68,6800700,6800700-020,21鄰,復興北路,,,,,,90號,121.37040649702,25.057793010336
桃園市龜山區文化里21鄰復興北路92號,68,6800700,6800700-020,21鄰,復興北路,,,,,,92號,121.37048147627,25.057743439108
桃園市龜山區文化里3鄰復興北路94號,68,6800700,6800700-020,3鄰,復興北路,,,,,,94號,121.37024842711,25.057534656543
桃園市龜山區文化里21鄰復興北路94號,68,6800700,6800700-020,21鄰,復興北路,,,,,,94號,121.37024842711,25.057534656543
