FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市平鎮區建安里22鄰柑園路1號,68,6801000,6801000-023,22鄰,柑園路,,,,,,1號,121.2300405891,24.918287663464
桃園市平鎮區建安里22鄰柑園路2號,68,6801000,6801000-023,22鄰,柑園路,,,,,,2號,121.23016507765,24.918470297165
桃園市平鎮區建安里22鄰柑園路3號,68,6801000,6801000-023,22鄰,柑園路,,,,,,3號,121.22996188361,24.918235239369
桃園市平鎮區建安里22鄰柑園路5號,68,6801000,6801000-023,22鄰,柑園路,,,,,,5號,121.22992125867,24.918163616241
桃園市平鎮區建安里22鄰柑園路7號,68,6801000,6801000-023,22鄰,柑園路,,,,,,7號,121.23003362068,24.918053566904
桃園市平鎮區建安里22鄰柑園路9號,68,6801000,6801000-023,22鄰,柑園路,,,,,,9號,121.23001132023,24.917986790885
桃園市平鎮區建安里22鄰柑園路11號,68,6801000,6801000-023,22鄰,柑園路,,,,,,11號,121.23006077119,24.917852913196
桃園市平鎮區建安里22鄰柑園路15號,68,6801000,6801000-023,22鄰,柑園路,,,,,,15號,121.23000879581,24.917693280355
桃園市平鎮區建安里22鄰柑園路17號,68,6801000,6801000-023,22鄰,柑園路,,,,,,17號,121.23010452633,24.917530620834
桃園市平鎮區建安里22鄰柑園路19號,68,6801000,6801000-023,22鄰,柑園路,,,,,,19號,121.22991919169,24.917475923526
桃園市平鎮區建安里22鄰柑園路21號,68,6801000,6801000-023,22鄰,柑園路,,,,,,21號,121.22988033565,24.917503881294
桃園市平鎮區建安里22鄰柑園路23號,68,6801000,6801000-023,22鄰,柑園路,,,,,,23號,121.22978406211,24.917533913794
桃園市平鎮區建安里22鄰柑園路25號,68,6801000,6801000-023,22鄰,柑園路,,,,,,25號,121.23003450701,24.917463918438
