FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區福林里26鄰樹林四街1號,68,6800100,6800100-033,26鄰,樹林四街,,,,,,1號,121.31305825598,24.979037996603
桃園市桃園區福林里2鄰樹林四街111巷1號,68,6800100,6800100-033,2鄰,樹林四街,,111巷,,,,1號,121.31286781656,24.980892181904
桃園市桃園區福林里2鄰樹林四街97巷1號,68,6800100,6800100-033,2鄰,樹林四街,,97巷,,,,1號,121.31285795557,24.980635617809
桃園市桃園區福林里3鄰樹林四街19巷1號,68,6800100,6800100-033,3鄰,樹林四街,,19巷,,,,1號,121.31295747127,24.979644550536
桃園市桃園區福林里3鄰樹林四街9巷1號,68,6800100,6800100-033,3鄰,樹林四街,,9巷,,,,1號,121.31296277242,24.979351750963
桃園市桃園區福林里26鄰樹林四街1之1號,68,6800100,6800100-033,26鄰,樹林四街,,,,,,1之1號,121.31305825598,24.979037996603
桃園市桃園區福林里26鄰樹林四街1之2號,68,6800100,6800100-033,26鄰,樹林四街,,,,,,1之2號,121.31305825598,24.979037996603
桃園市桃園區福林里26鄰樹林四街1之3號,68,6800100,6800100-033,26鄰,樹林四街,,,,,,1之3號,121.31305825598,24.979037996603
桃園市桃園區福林里26鄰樹林四街1之4號,68,6800100,6800100-033,26鄰,樹林四街,,,,,,1之4號,121.31305825598,24.979037996603
桃園市桃園區福林里2鄰樹林四街97巷2號,68,6800100,6800100-033,2鄰,樹林四街,,97巷,,,,2號,121.31290800728,24.980725886071
桃園市桃園區福林里3鄰樹林四街9巷2號,68,6800100,6800100-033,3鄰,樹林四街,,9巷,,,,2號,121.31296677979,24.97948707706
桃園市桃園區福林里2鄰樹林四街97巷2之1號,68,6800100,6800100-033,2鄰,樹林四街,,97巷,,,,2之1號,121.31286569587,24.980797840431
桃園市桃園區福林里2鄰樹林四街97巷2之2號,68,6800100,6800100-033,2鄰,樹林四街,,97巷,,,,2之2號,121.31281420869,24.980766620377
桃園市桃園區福林里2鄰樹林四街111巷2之2號,68,6800100,6800100-033,2鄰,樹林四街,,111巷,,,,2之2號,121.31282205771,24.981128458893
