FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區福安里17鄰水汴頭1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,1號,121.29581996317,24.850758272868
桃園市大溪區福安里17鄰水汴頭1之1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,1之1號,121.29578436155,24.850766649555
桃園市大溪區福安里17鄰水汴頭1之3號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,1之3號,121.29651799729,24.850654686802
桃園市大溪區福安里17鄰水汴頭2號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,2號,121.29597055312,24.849922298034
桃園市大溪區福安里17鄰水汴頭2之1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,2之1號,121.29452103168,24.850828462241
桃園市大溪區福安里17鄰水汴頭3之1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,3之1號,121.29506412288,24.851229338904
桃園市大溪區福安里17鄰水汴頭4號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,4號,121.29368578608,24.85253874709
桃園市大溪區福安里17鄰水汴頭5號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5號,121.29269448336,24.852235800424
桃園市大溪區福安里17鄰水汴頭5之2號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5之2號,121.29378194696,24.853075481964
桃園市大溪區福安里17鄰水汴頭5之3號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5之3號,121.29450798181,24.852922915774
桃園市大溪區福安里17鄰水汴頭5之5號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5之5號,121.29259378648,24.853007481656
桃園市大溪區福安里17鄰水汴頭5之6號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5之6號,121.2930284326,24.854417059436
桃園市大溪區福安里17鄰水汴頭5之8號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,5之8號,121.29252137456,24.853058002388
桃園市大溪區福安里17鄰水汴頭6號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,6號,121.29334133645,24.852662843138
桃園市大溪區福安里17鄰水汴頭7號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,7號,121.29481831505,24.851012869624
桃園市大溪區福安里17鄰水汴頭7之1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,7之1號,121.29452294336,24.851635875901
桃園市大溪區福安里17鄰水汴頭8號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,8號,121.29297153092,24.850634145771
桃園市大溪區福安里17鄰水汴頭8之1號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,8之1號,121.29315561641,24.852918804038
桃園市大溪區福安里17鄰水汴頭8之2號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,8之2號,121.29128264547,24.852227003076
桃園市大溪區福安里14鄰水汴頭11號,68,6800300,6800300-008,14鄰,水汴頭,,,,,,11號,121.29427256685,24.853879857088
桃園市大溪區福安里16鄰水汴頭12號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12號,121.29291502954,24.852440314814
桃園市大溪區福安里16鄰水汴頭12之3號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12之3號,121.29056406358,24.851079978744
桃園市大溪區福安里16鄰水汴頭12之6號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12之6號,121.29294322326,24.852731428159
桃園市大溪區福安里16鄰水汴頭12之7號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12之7號,121.29054534986,24.850354485849
桃園市大溪區福安里16鄰水汴頭12之8號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12之8號,121.29013555932,24.850250280804
桃園市大溪區福安里16鄰水汴頭12之9號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,12之9號,121.29323144711,24.852261923288
桃園市大溪區福安里17鄰水汴頭13號,68,6800300,6800300-008,17鄰,水汴頭,,,,,,13號,121.29246402136,24.852274622782
桃園市大溪區福安里16鄰水汴頭13之1號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,13之1號,121.29298018357,24.852123287253
桃園市大溪區福安里16鄰水汴頭14號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,14號,121.29130875772,24.850574648825
桃園市大溪區福安里16鄰水汴頭15號,68,6800300,6800300-008,16鄰,水汴頭,,,,,,15號,121.29144656532,24.851069592615
桃園市大溪區福安里15鄰水汴頭21號,68,6800300,6800300-008,15鄰,水汴頭,,,,,,21號,121.28841292205,24.856205013181
