FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區中平里19鄰泰昌三街22巷1號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,1號,121.29398086314,24.989386069315
桃園市桃園區中平里19鄰泰昌三街22巷2號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,2號,121.29393900934,24.989489706808
桃園市桃園區中平里21鄰泰昌三街2號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,2號,121.29377452663,24.990388168696
桃園市桃園區中平里19鄰泰昌三街22巷2之1號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,2之1號,121.29387582042,24.989494345769
桃園市桃園區中平里21鄰泰昌三街2之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,2之1號,121.29379441052,24.990335042932
桃園市桃園區中平里19鄰泰昌三街22巷3號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,3號,121.29391910434,24.989367231841
桃園市桃園區中平里19鄰泰昌三街22巷5號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,5號,121.29387195391,24.989326336394
桃園市桃園區中平里19鄰泰昌三街22巷6號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,6號,121.29381427836,24.98948336246
桃園市桃園區中平里21鄰泰昌三街6號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,6號,121.29380183433,24.990290970085
桃園市桃園區中平里19鄰泰昌三街22巷7號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,7號,121.29381297803,24.989311375556
桃園市桃園區中平里19鄰泰昌三街22巷8號,68,6800100,6800100-064,19鄰,泰昌三街,,22巷,,,,8號,121.2937601518,24.989466496081
桃園市桃園區中平里21鄰泰昌三街8號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,8號,121.2938152218,24.990213661253
桃園市桃園區中平里21鄰泰昌三街8之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,8之1號,121.2938152218,24.990213661253
桃園市桃園區中平里21鄰泰昌三街10號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,10號,121.29384874002,24.990145431269
桃園市桃園區中平里21鄰泰昌三街10之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,10之1號,121.29384874002,24.990145431269
桃園市桃園區中平里12鄰泰昌三街11號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,11號,121.29419106597,24.989885010182
桃園市桃園區中平里21鄰泰昌三街12號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,12號,121.29386349797,24.990061258204
桃園市桃園區中平里21鄰泰昌三街12之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,12之1號,121.29386349797,24.990061258204
桃園市桃園區中平里12鄰泰昌三街13號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,13號,121.29420866931,24.989831076321
桃園市桃園區中平里21鄰泰昌三街14號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,14號,121.29389785077,24.989969101517
桃園市桃園區中平里21鄰泰昌三街14之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,14之1號,121.29389785077,24.989969101517
桃園市桃園區中平里12鄰泰昌三街15號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,15號,121.29422478674,24.989777145396
桃園市桃園區中平里21鄰泰昌三街16號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,16號,121.29400243573,24.989876444947
桃園市桃園區中平里21鄰泰昌三街16之1號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,16之1號,121.29396387468,24.989823524901
桃園市桃園區中平里21鄰泰昌三街16之2號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,16之2號,121.29397804646,24.98978449457
桃園市桃園區中平里21鄰泰昌三街16之3號,68,6800100,6800100-064,21鄰,泰昌三街,,,,,,16之3號,121.29402017183,24.989753353929
桃園市桃園區中平里12鄰泰昌三街17號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,17號,121.2942438568,24.989715173428
桃園市桃園區中平里19鄰泰昌三街18號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,18號,121.29408845085,24.989598112499
桃園市桃園區中平里12鄰泰昌三街19號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,19號,121.29427034639,24.989649033758
桃園市桃園區中平里19鄰泰昌三街20號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,20號,121.29406486671,24.989511487249
桃園市桃園區中平里12鄰泰昌三街21號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,21號,121.29429238496,24.989585701664
桃園市桃園區中平里12鄰泰昌三街23號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,23號,121.29431000111,24.989537184756
桃園市桃園區中平里19鄰泰昌三街24號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,24號,121.29410973643,24.989426442098
桃園市桃園區中平里12鄰泰昌三街25號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,25號,121.29436788556,24.989384943099
桃園市桃園區中平里19鄰泰昌三街26號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,26號,121.29414816918,24.989383842754
桃園市桃園區中平里12鄰泰昌三街27號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,27號,121.29443615378,24.989308609031
桃園市桃園區中平里19鄰泰昌三街28號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,28號,121.29415737505,24.989256164131
桃園市桃園區中平里12鄰泰昌三街29號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,29號,121.2944556356,24.98925322689
桃園市桃園區中平里19鄰泰昌三街30號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,30號,121.29406096185,24.989202545902
桃園市桃園區中平里12鄰泰昌三街31號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,31號,121.29449505471,24.989042608495
桃園市桃園區中平里19鄰泰昌三街32號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,32號,121.29418967296,24.989174845415
桃園市桃園區中平里12鄰泰昌三街33號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,33號,121.29463578953,24.989155454749
桃園市桃園區中平里12鄰泰昌三街35號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,35號,121.2946887301,24.989048815761
桃園市桃園區中平里19鄰泰昌三街36號,68,6800100,6800100-064,19鄰,泰昌三街,,,,,,36號,121.29421653571,24.989099044712
桃園市桃園區中平里12鄰泰昌三街37號,68,6800100,6800100-064,12鄰,泰昌三街,,,,,,37號,121.29453189399,24.988954960893
桃園市桃園區中平里3鄰泰昌三街38號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,38號,121.29433311005,24.988758536843
桃園市桃園區中平里3鄰泰昌三街40號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,40號,121.29435361531,24.988716966016
桃園市桃園區中平里3鄰泰昌三街42號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,42號,121.29437480795,24.988672865897
桃園市桃園區中平里3鄰泰昌三街46號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,46號,121.29438796103,24.988538949902
桃園市桃園區中平里3鄰泰昌三街46之1號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,46之1號,121.29422244306,24.988501177734
桃園市桃園區中平里3鄰泰昌三街50號,68,6800100,6800100-064,3鄰,泰昌三街,,,,,,50號,121.29432280351,24.98834063632
桃園市桃園區中平里9鄰泰昌三街51號,68,6800100,6800100-064,9鄰,泰昌三街,,,,,,51號,121.2946623671,24.988503015798
桃園市桃園區中平里9鄰泰昌三街51之1號,68,6800100,6800100-064,9鄰,泰昌三街,,,,,,51之1號,121.29483222746,24.988160144925
桃園市桃園區中平里9鄰泰昌三街51之6號,68,6800100,6800100-064,9鄰,泰昌三街,,,,,,51之6號,121.29493687446,24.987886830888
桃園市桃園區中平里5鄰泰昌三街58號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,58號,121.2945297276,24.98812887396
桃園市桃園區中平里5鄰泰昌三街58之1號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,58之1號,121.29443923438,24.9881066628
桃園市桃園區中平里5鄰泰昌三街60號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,60號,121.29455802707,24.988074196613
桃園市桃園區中平里5鄰泰昌三街62號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,62號,121.29459797864,24.987962527494
桃園市桃園區中平里5鄰泰昌三街64號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,64號,121.29462435608,24.987808000718
桃園市桃園區中平里5鄰泰昌三街66號,68,6800100,6800100-064,5鄰,泰昌三街,,,,,,66號,121.29465750115,24.987708352722
桃園市桃園區中原里19鄰泰昌三街53號,68,6800100,6800100-065,19鄰,泰昌三街,,,,,,53號,121.29493740166,24.987609570133
