FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市八德區廣興里1鄰溪墘街165巷1號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,1號,121.27729854829,24.947089562204
桃園市八德區廣興里32鄰溪墘街246巷1號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,1號,121.27776018593,24.948802649411
桃園市八德區廣興里32鄰溪墘街256巷1號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,1號,121.27785941666,24.94911412391
桃園市八德區廣興里32鄰溪墘街246巷2號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,2號,121.27772725813,24.948647513011
桃園市八德區廣興里32鄰溪墘街256巷2號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,2號,121.27778920843,24.948938472358
桃園市八德區廣興里1鄰溪墘街165巷2號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,2號,121.27728776804,24.947007153173
桃園市八德區廣興里32鄰溪墘街256巷3號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,3號,121.27782625744,24.949076627706
桃園市八德區廣興里32鄰溪墘街246巷3號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,3號,121.27779015008,24.948784356226
桃園市八德區廣興里1鄰溪墘街165巷3號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,3號,121.27727557621,24.946957700349
桃園市八德區廣興里32鄰溪墘街246巷5號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,5號,121.27782396593,24.94876145138
桃園市八德區廣興里32鄰溪墘街256巷5號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,5號,121.27787059572,24.949065078981
桃園市八德區廣興里1鄰溪墘街165巷5號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,5號,121.27725282628,24.946880820899
桃園市八德區廣興里1鄰溪墘街165巷6號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,6號,121.27725272179,24.946834144376
桃園市八德區廣興里32鄰溪墘街256巷6號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,6號,121.2778243143,24.948916738796
桃園市八德區廣興里32鄰溪墘街246巷6號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,6號,121.27777098935,24.948630277571
桃園市八德區廣興里32鄰溪墘街246巷7號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,7號,121.27785145176,24.948741989115
桃園市八德區廣興里32鄰溪墘街256巷7號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,7號,121.27790927468,24.949046950086
桃園市八德區廣興里1鄰溪墘街165巷7號,68,6800800,6800800-007,1鄰,溪墘街,,165巷,,,,7號,121.27713981101,24.946868662278
桃園市八德區廣興里32鄰溪墘街256巷8號,68,6800800,6800800-007,32鄰,溪墘街,,256巷,,,,8號,121.27786309184,24.948898429161
桃園市八德區廣興里32鄰溪墘街246巷8號,68,6800800,6800800-007,32鄰,溪墘街,,246巷,,,,8號,121.27780478977,24.948600511192
