FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區瑞興里1鄰瑞德街112巷108弄1號,68,6800300,6800300-013,1鄰,瑞德街,,112巷,108弄,,,1號,121.31019101177,24.927487044361
桃園市大溪區瑞興里3鄰瑞德街151巷90弄1號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,90弄,,,1號,121.30403746828,24.926080187476
桃園市大溪區瑞興里1鄰瑞德街5號,68,6800300,6800300-013,1鄰,瑞德街,,,,,,5號,121.30942086667,24.924651835384
桃園市大溪區瑞興里3鄰瑞德街151巷90弄5號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,90弄,,,5號,121.30415881315,24.926185030419
桃園市大溪區瑞興里3鄰瑞德街151巷148弄8號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,148弄,,,8號,121.30369583958,24.925736992401
桃園市大溪區瑞興里3鄰瑞德街151巷90弄9號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,90弄,,,9號,121.30424477922,24.926276493162
桃園市大溪區瑞興里3鄰瑞德街151巷22弄9號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,22弄,,,9號,121.3054941694,24.927199528598
桃園市大溪區瑞興里2鄰瑞德街188巷138弄10號,68,6800300,6800300-013,2鄰,瑞德街,,188巷,138弄,,,10號,121.30876541718,24.929056247937
桃園市大溪區瑞興里3鄰瑞德街151巷148弄10號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,148弄,,,10號,121.30373746247,24.92583387252
桃園市大溪區瑞興里3鄰瑞德街151巷22弄11號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,22弄,,,11號,121.30554457238,24.927242580998
桃園市大溪區瑞興里3鄰瑞德街151巷148弄12號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,148弄,,,12號,121.30386000473,24.925821524769
桃園市大溪區瑞興里3鄰瑞德街151巷22弄13號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,22弄,,,13號,121.30559199893,24.927323287856
桃園市大溪區瑞興里3鄰瑞德街151巷48弄13號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,48弄,,,13號,121.30513471421,24.926937719231
桃園市大溪區瑞興里3鄰瑞德街151巷188弄15號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,188弄,,,15號,121.30275538079,24.92501636302
桃園市大溪區瑞興里1鄰瑞德街16號,68,6800300,6800300-013,1鄰,瑞德街,,,,,,16號,121.30969604594,24.924706427486
桃園市大溪區瑞興里1鄰瑞德街112巷108弄17號,68,6800300,6800300-013,1鄰,瑞德街,,112巷,108弄,,,17號,121.31061210549,24.927291515622
桃園市大溪區瑞興里3鄰瑞德街151巷17號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,,,,17號,121.30583318997,24.926843115024
桃園市大溪區瑞興里3鄰瑞德街151巷188弄17號,68,6800300,6800300-013,3鄰,瑞德街,,151巷,188弄,,,17號,121.3026813767,24.92495728703
桃園市大溪區瑞興里1鄰瑞德街18號,68,6800300,6800300-013,1鄰,瑞德街,,,,,,18號,121.30965197381,24.924740556051
