FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市大溪區仁文里25鄰福居街1巷1號,68,6800300,6800300-026,25鄰,福居街,,1巷,,,,1號,121.28183091065,24.898332092299
桃園市大溪區仁文里26鄰福居街3巷1號,68,6800300,6800300-026,26鄰,福居街,,3巷,,,,1號,121.2817995227,24.898066444738
桃園市大溪區仁文里26鄰福居街5巷1號,68,6800300,6800300-026,26鄰,福居街,,5巷,,,,1號,121.28175269024,24.897799562344
桃園市大溪區仁文里27鄰福居街7巷1號,68,6800300,6800300-026,27鄰,福居街,,7巷,,,,1號,121.28174439187,24.897545156694
桃園市大溪區仁文里27鄰福居街9巷1號,68,6800300,6800300-026,27鄰,福居街,,9巷,,,,1號,121.28170165993,24.897296684531
桃園市大溪區仁文里27鄰福居街9巷2號,68,6800300,6800300-026,27鄰,福居街,,9巷,,,,2號,121.28169124462,24.897156221725
桃園市大溪區仁文里27鄰福居街7巷2號,68,6800300,6800300-026,27鄰,福居街,,7巷,,,,2號,121.28170810214,24.897387498436
桃園市大溪區仁文里26鄰福居街5巷2號,68,6800300,6800300-026,26鄰,福居街,,5巷,,,,2號,121.28174274004,24.897646007442
桃園市大溪區仁文里26鄰福居街3巷2號,68,6800300,6800300-026,26鄰,福居街,,3巷,,,,2號,121.2817759804,24.897899282576
桃園市大溪區仁文里25鄰福居街1巷2號,68,6800300,6800300-026,25鄰,福居街,,1巷,,,,2號,121.28181368348,24.898156160639
桃園市大溪區仁文里25鄰福居街1巷3號,68,6800300,6800300-026,25鄰,福居街,,1巷,,,,3號,121.28187407809,24.898336163836
桃園市大溪區仁文里26鄰福居街3巷3號,68,6800300,6800300-026,26鄰,福居街,,3巷,,,,3號,121.28184415905,24.898063561615
桃園市大溪區仁文里26鄰福居街5巷3號,68,6800300,6800300-026,26鄰,福居街,,5巷,,,,3號,121.28180504739,24.897796664654
桃園市大溪區仁文里27鄰福居街7巷3號,68,6800300,6800300-026,27鄰,福居街,,7巷,,,,3號,121.28183524161,24.897536588677
桃園市大溪區仁文里27鄰福居街9巷3號,68,6800300,6800300-026,27鄰,福居街,,9巷,,,,3號,121.28178479478,24.89729083964
桃園市大溪區仁文里27鄰福居街9巷4號,68,6800300,6800300-026,27鄰,福居街,,9巷,,,,4號,121.28176063333,24.897156090713
桃園市大溪區仁文里27鄰福居街7巷4號,68,6800300,6800300-026,27鄰,福居街,,7巷,,,,4號,121.28180053861,24.89738028171
桃園市大溪區仁文里26鄰福居街5巷4號,68,6800300,6800300-026,26鄰,福居街,,5巷,,,,4號,121.28178736661,24.89763888099
桃園市大溪區仁文里26鄰福居街3巷4號,68,6800300,6800300-026,26鄰,福居街,,3巷,,,,4號,121.28182072204,24.897899198077
