FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市桃園區玉山里4鄰育群街39之1號,68,6800100,6800100-028,4鄰,育群街,,,,,,39之1號,121.30330005207,24.990992643877
桃園市桃園區玉山里4鄰育群街43號,68,6800100,6800100-028,4鄰,育群街,,,,,,43號,121.30319638276,24.991052261438
桃園市桃園區玉山里4鄰育群街43之1號,68,6800100,6800100-028,4鄰,育群街,,,,,,43之1號,121.30319638276,24.991052261438
桃園市桃園區玉山里4鄰育群街43之2號,68,6800100,6800100-028,4鄰,育群街,,,,,,43之2號,121.30319638276,24.991052261438
桃園市桃園區玉山里4鄰育群街43之3號,68,6800100,6800100-028,4鄰,育群街,,,,,,43之3號,121.30319638276,24.991052261438
桃園市桃園區玉山里4鄰育群街45號,68,6800100,6800100-028,4鄰,育群街,,,,,,45號,121.30311419305,24.991105154223
桃園市桃園區玉山里4鄰育群街47號,68,6800100,6800100-028,4鄰,育群街,,,,,,47號,121.30307026919,24.991129259
桃園市桃園區泰山里12鄰育群街50號,68,6800100,6800100-053,12鄰,育群街,,,,,,50號,121.30300558818,24.991333611132
桃園市桃園區泰山里12鄰育群街50之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,50之1號,121.30300558818,24.991333611132
桃園市桃園區泰山里12鄰育群街50之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,50之2號,121.30300558818,24.991333611132
桃園市桃園區泰山里12鄰育群街50之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,50之3號,121.30300558818,24.991333611132
桃園市桃園區泰山里12鄰育群街50之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,50之4號,121.30300558818,24.991333611132
桃園市桃園區泰山里12鄰育群街52號,68,6800100,6800100-053,12鄰,育群街,,,,,,52號,121.30293276535,24.991368698969
桃園市桃園區泰山里12鄰育群街52之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,52之1號,121.30293276535,24.991368698969
桃園市桃園區泰山里12鄰育群街52之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,52之2號,121.30293276535,24.991368698969
桃園市桃園區泰山里12鄰育群街52之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,52之3號,121.30293276535,24.991368698969
桃園市桃園區泰山里12鄰育群街52之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,52之4號,121.30293276535,24.991368698969
桃園市桃園區泰山里12鄰育群街54號,68,6800100,6800100-053,12鄰,育群街,,,,,,54號,121.30288709323,24.991407071983
桃園市桃園區泰山里12鄰育群街54之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,54之1號,121.30288709323,24.991407071983
桃園市桃園區泰山里12鄰育群街54之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,54之2號,121.30288709323,24.991407071983
桃園市桃園區泰山里12鄰育群街54之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,54之3號,121.30288709323,24.991407071983
桃園市桃園區泰山里12鄰育群街54之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,54之4號,121.30288709323,24.991407071983
桃園市桃園區泰山里12鄰育群街56號,68,6800100,6800100-053,12鄰,育群街,,,,,,56號,121.30282158155,24.991434290253
桃園市桃園區泰山里12鄰育群街56之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,56之1號,121.30282158155,24.991434290253
桃園市桃園區泰山里12鄰育群街56之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,56之2號,121.30282158155,24.991434290253
桃園市桃園區泰山里12鄰育群街56之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,56之3號,121.30282158155,24.991434290253
桃園市桃園區泰山里12鄰育群街56之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,56之4號,121.30282158155,24.991434290253
桃園市桃園區泰山里12鄰育群街58號,68,6800100,6800100-053,12鄰,育群街,,,,,,58號,121.30276107528,24.991482895409
桃園市桃園區泰山里12鄰育群街58之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,58之1號,121.30276107528,24.991482895409
桃園市桃園區泰山里12鄰育群街58之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,58之2號,121.30276107528,24.991482895409
桃園市桃園區泰山里12鄰育群街58之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,58之3號,121.30276107528,24.991482895409
桃園市桃園區泰山里12鄰育群街58之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,58之4號,121.30276107528,24.991482895409
桃園市桃園區泰山里12鄰育群街60號,68,6800100,6800100-053,12鄰,育群街,,,,,,60號,121.3026536169,24.991532679443
桃園市桃園區泰山里12鄰育群街60之1號,68,6800100,6800100-053,12鄰,育群街,,,,,,60之1號,121.3026536169,24.991532679443
桃園市桃園區泰山里12鄰育群街60之2號,68,6800100,6800100-053,12鄰,育群街,,,,,,60之2號,121.3026536169,24.991532679443
桃園市桃園區泰山里12鄰育群街60之3號,68,6800100,6800100-053,12鄰,育群街,,,,,,60之3號,121.3026536169,24.991532679443
桃園市桃園區泰山里12鄰育群街60之4號,68,6800100,6800100-053,12鄰,育群街,,,,,,60之4號,121.3026536169,24.991532679443
桃園市桃園區泰山里11鄰育群街71號,68,6800100,6800100-053,11鄰,育群街,,,,,,71號,121.30251707721,24.991357085586
