FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市龜山區龜山里24鄰自強東路170巷1號,68,6800700,6800700-002,24鄰,自強東路,,170巷,,,,1號,121.34343698919,24.995945551697
桃園市龜山區龜山里24鄰自強東路170巷2弄1號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,1號,121.34354087127,24.996110619718
桃園市龜山區龜山里24鄰自強東路196巷1弄1號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,1號,121.3442298678,24.996680697986
桃園市龜山區龜山里24鄰自強東路196巷1弄2號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,2號,121.34416860814,24.996845064146
桃園市龜山區龜山里24鄰自強東路150巷2號,68,6800700,6800700-002,24鄰,自強東路,,150巷,,,,2號,121.34305659239,24.995735167474
桃園市龜山區龜山里24鄰自強東路150巷2之1號,68,6800700,6800700-002,24鄰,自強東路,,150巷,,,,2之1號,121.34308995654,24.995870514786
桃園市龜山區龜山里24鄰自強東路196巷1弄3號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,3號,121.34426114675,24.996707078476
桃園市龜山區龜山里24鄰自強東路170巷2弄3號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,3號,121.34356758722,24.996134934389
桃園市龜山區龜山里24鄰自強東路170巷3號,68,6800700,6800700-002,24鄰,自強東路,,170巷,,,,3號,121.34340927045,24.99598813889
桃園市龜山區龜山里24鄰自強東路170巷5號,68,6800700,6800700-002,24鄰,自強東路,,170巷,,,,5號,121.34337144769,24.996030929963
桃園市龜山區龜山里24鄰自強東路170巷2弄5號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,5號,121.34359975672,24.996161042118
桃園市龜山區龜山里24鄰自強東路196巷1弄5號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,5號,121.34429697714,24.996731462204
桃園市龜山區龜山里24鄰自強東路150巷6號,68,6800700,6800700-002,24鄰,自強東路,,150巷,,,,6號,121.34299901066,24.995833076539
桃園市龜山區龜山里24鄰自強東路196巷1弄6號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,6號,121.34424465021,24.99690185667
桃園市龜山區龜山里24鄰自強東路170巷2弄7號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,7號,121.34363659428,24.996191472632
桃園市龜山區龜山里24鄰自強東路196巷1弄7號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,7號,121.3443245847,24.996755684389
桃園市龜山區龜山里24鄰自強東路170巷2弄9號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,9號,121.3436700549,24.99621875104
桃園市龜山區龜山里24鄰自強東路196巷1弄9號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,9號,121.34435894978,24.996787474684
桃園市龜山區龜山里24鄰自強東路196巷1弄11號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,11號,121.34439468669,24.996813844827
桃園市龜山區龜山里24鄰自強東路170巷2弄11號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,11號,121.34371136469,24.996254317326
桃園市龜山區龜山里24鄰自強東路196巷1弄13號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,13號,121.34442606477,24.996840225052
桃園市龜山區龜山里24鄰自強東路170巷2弄13號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,13號,121.34374818473,24.996278428055
桃園市龜山區龜山里24鄰自強東路196巷1弄15號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,15號,121.34445518528,24.99687410397
桃園市龜山區龜山里24鄰自強東路170巷2弄15號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,15號,121.34378839606,24.996310836958
桃園市龜山區龜山里24鄰自強東路196巷1弄17號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,17號,121.34449240241,24.996898394157
桃園市龜山區龜山里24鄰自強東路170巷2弄17號,68,6800700,6800700-002,24鄰,自強東路,,170巷,2弄,,,17號,121.34383427995,24.996352531872
桃園市龜山區龜山里24鄰自強東路196巷1弄19號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,19號,121.34451773357,24.996923343838
桃園市龜山區龜山里24鄰自強東路196巷1弄21號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,21號,121.34455060171,24.99695116511
桃園市龜山區龜山里24鄰自強東路196巷1弄23號,68,6800700,6800700-002,24鄰,自強東路,,196巷,1弄,,,23號,121.34458336248,24.996976007291
桃園市龜山區龜山里24鄰自強東路152號,68,6800700,6800700-002,24鄰,自強東路,,,,,,152號,121.34317647247,24.995561277125
桃園市龜山區龜山里24鄰自強東路154號,68,6800700,6800700-002,24鄰,自強東路,,,,,,154號,121.34321671752,24.995605964577
桃園市龜山區龜山里24鄰自強東路156號,68,6800700,6800700-002,24鄰,自強東路,,,,,,156號,121.34325814886,24.995649746452
桃園市龜山區龜山里24鄰自強東路158號,68,6800700,6800700-002,24鄰,自強東路,,,,,,158號,121.3433029509,24.995694423365
桃園市龜山區龜山里24鄰自強東路160號,68,6800700,6800700-002,24鄰,自強東路,,,,,,160號,121.34335667144,24.995740072794
桃園市龜山區龜山里24鄰自強東路162號,68,6800700,6800700-002,24鄰,自強東路,,,,,,162號,121.34339253524,24.995776644852
桃園市龜山區龜山里24鄰自強東路164號,68,6800700,6800700-002,24鄰,自強東路,,,,,,164號,121.34345636662,24.995824527978
桃園市龜山區龜山里24鄰自強東路166號,68,6800700,6800700-002,24鄰,自強東路,,,,,,166號,121.34351010711,24.995877309647
桃園市龜山區龜山里24鄰自強東路172號,68,6800700,6800700-002,24鄰,自強東路,,,,,,172號,121.34365569562,24.995971228707
桃園市龜山區龜山里24鄰自強東路172之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,172之1號,121.34368262099,24.995999605602
桃園市龜山區龜山里24鄰自強東路174號,68,6800700,6800700-002,24鄰,自強東路,,,,,,174號,121.34370496709,24.996019957899
桃園市龜山區龜山里24鄰自強東路176號,68,6800700,6800700-002,24鄰,自強東路,,,,,,176號,121.34374516979,24.99604929722
桃園市龜山區龜山里24鄰自強東路176之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,176之1號,121.34376753826,24.996077684627
桃園市龜山區龜山里24鄰自強東路178號,68,6800700,6800700-002,24鄰,自強東路,,,,,,178號,121.34380794817,24.996110273633
桃園市龜山區龜山里24鄰自強東路178之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,178之1號,121.3438405122,24.996135748417
桃園市龜山區龜山里24鄰自強東路180號,68,6800700,6800700-002,24鄰,自強東路,,,,,,180號,121.34386971084,24.996162224084
桃園市龜山區龜山里24鄰自強東路180之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,180之1號,121.34389651462,24.996182475765
桃園市龜山區龜山里24鄰自強東路182號,68,6800700,6800700-002,24鄰,自強東路,,,,,,182號,121.34393812216,24.996218221866
桃園市龜山區龜山里24鄰自強東路182之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,182之1號,121.34396284587,24.996238568626
桃園市龜山區龜山里24鄰自強東路184號,68,6800700,6800700-002,24鄰,自強東路,,,,,,184號,121.34399653989,24.996278486014
桃園市龜山區龜山里24鄰自強東路186號,68,6800700,6800700-002,24鄰,自強東路,,,,,,186號,121.34403434485,24.99630051789
桃園市龜山區龜山里24鄰自強東路186之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,186之1號,121.34400577492,24.99632198098
桃園市龜山區龜山里24鄰自強東路188號,68,6800700,6800700-002,24鄰,自強東路,,,,,,188號,121.34405533785,24.99633297116
桃園市龜山區龜山里24鄰自強東路188之1號,68,6800700,6800700-002,24鄰,自強東路,,,,,,188之1號,121.34403349547,24.996351258798
桃園市龜山區龜山里24鄰自強東路190號,68,6800700,6800700-002,24鄰,自強東路,,,,,,190號,121.34408307852,24.996369471547
桃園市龜山區龜山里24鄰自強東路198號,68,6800700,6800700-002,24鄰,自強東路,,,,,,198號,121.34432726218,24.996578904447
桃園市龜山區龜山里24鄰自強東路200號,68,6800700,6800700-002,24鄰,自強東路,,,,,,200號,121.3443608196,24.996605279643
桃園市龜山區龜山里24鄰自強東路202號,68,6800700,6800700-002,24鄰,自強東路,,,,,,202號,121.34439042227,24.996634462753
