FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區仁德里3鄰華美一路69之1號,68,6800200,6800200-003,3鄰,華美一路,,,,,,69之1號,121.26166251586,24.955348746411
桃園市中壢區仁德里3鄰華美一路75號,68,6800200,6800200-003,3鄰,華美一路,,,,,,75號,121.2616002676,24.95513479295
桃園市中壢區篤行里14鄰華美一路25巷1號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,1號,121.26266488791,24.957246823039
桃園市中壢區篤行里14鄰華美一路27巷1號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,1號,121.26279304125,24.957248492951
桃園市中壢區篤行里15鄰華美一路29巷1號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,1號,121.2626292564,24.957023162781
桃園市中壢區篤行里15鄰華美一路33巷1號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,1號,121.26250556677,24.956791261334
桃園市中壢區篤行里3鄰華美一路16巷1號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,1號,121.26219921568,24.957613744023
桃園市中壢區篤行里3鄰華美一路2號,68,6800200,6800200-023,3鄰,華美一路,,,,,,2號,121.26228371504,24.957811677748
桃園市中壢區篤行里3鄰華美一路16巷2號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,2號,121.26211120945,24.957630330556
桃園市中壢區篤行里14鄰華美一路25巷2號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,2號,121.26286032635,24.957361138602
桃園市中壢區篤行里14鄰華美一路27巷2號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,2號,121.26267871043,24.957133582864
桃園市中壢區篤行里15鄰華美一路29巷2號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,2號,121.26248064935,24.956903076511
桃園市中壢區篤行里12鄰華美一路33巷2號,68,6800200,6800200-023,12鄰,華美一路,,33巷,,,,2號,121.26253331867,24.956568392158
桃園市中壢區篤行里14鄰華美一路25巷3號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,3號,121.26267804903,24.957288601196
桃園市中壢區篤行里14鄰華美一路27巷3號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,3號,121.26284602416,24.957248399464
桃園市中壢區篤行里15鄰華美一路33巷3號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,3號,121.26256014474,24.956796221028
桃園市中壢區篤行里15鄰華美一路29巷3號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,3號,121.26268146284,24.957030564271
桃園市中壢區篤行里3鄰華美一路16巷3號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,3號,121.26203587589,24.957645179352
桃園市中壢區篤行里3鄰華美一路16巷5號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,5號,121.26203393046,24.957568261038
桃園市中壢區篤行里15鄰華美一路33巷5號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,5號,121.2626127206,24.956791072453
桃園市中壢區篤行里15鄰華美一路29巷5號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,5號,121.26272215288,24.957024533781
桃園市中壢區篤行里14鄰華美一路27巷5號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,5號,121.26288950522,24.957250850673
桃園市中壢區篤行里14鄰華美一路25巷5號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,5號,121.26267953416,24.957335094698
桃園市中壢區篤行里12鄰華美一路33巷6號,68,6800200,6800200-023,12鄰,華美一路,,33巷,,,,6號,121.26258226277,24.956578598231
桃園市中壢區篤行里14鄰華美一路25巷6號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,6號,121.26290755251,24.957355006242
桃園市中壢區篤行里14鄰華美一路27巷6號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,6號,121.26273575634,24.957134746223
桃園市中壢區篤行里15鄰華美一路29巷6號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,6號,121.26252472238,24.956904533663
桃園市中壢區篤行里3鄰華美一路16巷6號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,6號,121.26202297297,24.957491358576
桃園市中壢區篤行里3鄰華美一路6號,68,6800200,6800200-023,3鄰,華美一路,,,,,,6號,121.2622745492,24.957598895144
桃園市中壢區篤行里5鄰華美一路15巷6號,68,6800200,6800200-023,5鄰,華美一路,,15巷,,,,6號,121.26272966576,24.957531373388
桃園市中壢區篤行里3鄰華美一路16巷7號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,7號,121.26200846079,24.957419427971
桃園市中壢區篤行里15鄰華美一路29巷7號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,7號,121.26277917076,24.957012515748
桃園市中壢區篤行里15鄰華美一路33巷7號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,7號,121.26266727692,24.956785830084
桃園市中壢區篤行里14鄰華美一路27巷7號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,7號,121.26294920917,24.957244515709
桃園市中壢區篤行里14鄰華美一路25巷7號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,7號,121.26267566918,24.957380514229
桃園市中壢區篤行里12鄰華美一路33巷8號,68,6800200,6800200-023,12鄰,華美一路,,33巷,,,,8號,121.26263107509,24.956573366001
桃園市中壢區篤行里14鄰華美一路25巷8號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,8號,121.26295598261,24.957356184723
桃園市中壢區篤行里14鄰華美一路27巷8號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,8號,121.26278735791,24.957137092854
桃園市中壢區篤行里15鄰華美一路29巷8號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,8號,121.26257195164,24.956899936228
桃園市中壢區篤行里3鄰華美一路16巷8號,68,6800200,6800200-023,3鄰,華美一路,,16巷,,,,8號,121.26199040405,24.957357254241
桃園市中壢區篤行里3鄰華美一路8號,68,6800200,6800200-023,3鄰,華美一路,,,,,,8號,121.26226541241,24.957540046241
桃園市中壢區篤行里2鄰華美一路16巷9號,68,6800200,6800200-023,2鄰,華美一路,,16巷,,,,9號,121.26197321476,24.957283793516
桃園市中壢區篤行里15鄰華美一路29巷9號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,9號,121.26282978003,24.957013961279
桃園市中壢區篤行里15鄰華美一路33巷9號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,9號,121.26273116419,24.956790863582
桃園市中壢區篤行里14鄰華美一路27巷9號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,9號,121.26299406884,24.957243262821
桃園市中壢區篤行里14鄰華美一路25巷9號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,9號,121.26268102199,24.957429528854
桃園市中壢區篤行里14鄰華美一路27巷10號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,10號,121.26283489125,24.957135745014
桃園市中壢區篤行里14鄰華美一路25巷10號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,10號,121.26300708642,24.957357268184
桃園市中壢區篤行里12鄰華美一路33巷10號,68,6800200,6800200-023,12鄰,華美一路,,33巷,,,,10號,121.26267435612,24.956575005074
桃園市中壢區篤行里15鄰華美一路29巷10號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,10號,121.26262245857,24.956899847186
桃園市中壢區篤行里3鄰華美一路10號,68,6800200,6800200-023,3鄰,華美一路,,,,,,10號,121.26225624083,24.95746476576
桃園市中壢區篤行里2鄰華美一路16巷10號,68,6800200,6800200-023,2鄰,華美一路,,16巷,,,,10號,121.26196136927,24.957208427432
桃園市中壢區篤行里2鄰華美一路16巷11號,68,6800200,6800200-023,2鄰,華美一路,,16巷,,,,11號,121.26204929014,24.957198431851
桃園市中壢區篤行里15鄰華美一路29巷11號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,11號,121.26287701258,24.957010898564
桃園市中壢區篤行里15鄰華美一路33巷11號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,11號,121.26278380611,24.956770186028
桃園市中壢區篤行里14鄰華美一路25巷11號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,11號,121.26281474753,24.957490144193
桃園市中壢區篤行里14鄰華美一路27巷11號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,11號,121.26303753916,24.957240658116
桃園市中壢區篤行里14鄰華美一路27巷12號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,12號,121.26288787679,24.957136915479
桃園市中壢區篤行里14鄰華美一路25巷12號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,12號,121.26305037175,24.957360803096
桃園市中壢區篤行里12鄰華美一路33巷12號,68,6800200,6800200-023,12鄰,華美一路,,33巷,,,,12號,121.26272318664,24.956578349737
桃園市中壢區篤行里15鄰華美一路29巷12號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,12號,121.26267295285,24.956893799422
桃園市中壢區篤行里3鄰華美一路12號,68,6800200,6800200-023,3鄰,華美一路,,,,,,12號,121.26224718569,24.957397700892
桃園市中壢區篤行里2鄰華美一路16巷12號,68,6800200,6800200-023,2鄰,華美一路,,16巷,,,,12號,121.26212287198,24.95719830238
桃園市中壢區篤行里2鄰華美一路16巷13號,68,6800200,6800200-023,2鄰,華美一路,,16巷,,,,13號,121.26210468008,24.9570722983
桃園市中壢區篤行里15鄰華美一路29巷13號,68,6800200,6800200-023,15鄰,華美一路,,29巷,,,,13號,121.26292919353,24.957006292277
桃園市中壢區篤行里15鄰華美一路33巷13號,68,6800200,6800200-023,15鄰,華美一路,,33巷,,,,13號,121.2628364036,24.956775239399
桃園市中壢區篤行里14鄰華美一路25巷13號,68,6800200,6800200-023,14鄰,華美一路,,25巷,,,,13號,121.26286198409,24.95748888715
桃園市中壢區篤行里14鄰華美一路27巷13號,68,6800200,6800200-023,14鄰,華美一路,,27巷,,,,13號,121.26309319865,24.957241823787
