FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區過嶺里1鄰過嶺4之3號,68,6800200,6800200-043,1鄰,過嶺,,,,,,4之3號,121.17624382669,24.959961511031
桃園市中壢區過嶺里2鄰過嶺8號,68,6800200,6800200-043,2鄰,過嶺,,,,,,8號,121.17479362277,24.962546245986
桃園市中壢區過嶺里2鄰過嶺8之8號,68,6800200,6800200-043,2鄰,過嶺,,,,,,8之8號,121.17495335839,24.962396638386
桃園市中壢區過嶺里2鄰過嶺8之10號,68,6800200,6800200-043,2鄰,過嶺,,,,,,8之10號,121.1750077174,24.962247335047
桃園市中壢區過嶺里2鄰過嶺8之12號,68,6800200,6800200-043,2鄰,過嶺,,,,,,8之12號,121.17511284897,24.962144107127
桃園市中壢區過嶺里2鄰過嶺8之14號,68,6800200,6800200-043,2鄰,過嶺,,,,,,8之14號,121.17522591847,24.962051523306
桃園市中壢區過嶺里3鄰過嶺8之67號,68,6800200,6800200-043,3鄰,過嶺,,,,,,8之67號,121.17444472079,24.964029208659
桃園市中壢區過嶺里7鄰過嶺54之1號,68,6800200,6800200-043,7鄰,過嶺,,,,,,54之1號,121.15739973297,24.970987879206
桃園市中壢區過嶺里14鄰過嶺73號,68,6800200,6800200-043,14鄰,過嶺,,,,,,73號,121.16837748689,24.963981750901
桃園市中壢區過嶺里4鄰過嶺310號,68,6800200,6800200-043,4鄰,過嶺,,,,,,310號,121.17560928622,24.97628081166
