FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區仁美里3鄰金鋒四街1號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,1號,121.24780867403,24.946735341035
桃園市中壢區仁美里3鄰金鋒四街2號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,2號,121.24765103074,24.946589433464
桃園市中壢區仁美里27鄰金鋒四街50巷2號,68,6800200,6800200-012,27鄰,金鋒四街,,50巷,,,,2號,121.24859432337,24.945492447686
桃園市中壢區仁美里3鄰金鋒四街3號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,3號,121.24786104535,24.946679277888
桃園市中壢區仁美里3鄰金鋒四街4號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,4號,121.2477198265,24.946526481488
桃園市中壢區仁美里3鄰金鋒四街5號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,5號,121.24793510258,24.946622907787
桃園市中壢區仁美里27鄰金鋒四街50巷6號,68,6800200,6800200-012,27鄰,金鋒四街,,50巷,,,,6號,121.24866256239,24.945547316738
桃園市中壢區仁美里3鄰金鋒四街6號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,6號,121.24777497499,24.946472670851
桃園市中壢區仁美里3鄰金鋒四街7號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,7號,121.24799520462,24.946570262519
桃園市中壢區仁美里27鄰金鋒四街50巷8號,68,6800200,6800200-012,27鄰,金鋒四街,,50巷,,,,8號,121.24862997555,24.945592783937
桃園市中壢區仁美里3鄰金鋒四街8號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,8號,121.24783773155,24.946410451134
桃園市中壢區仁美里3鄰金鋒四街9號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,9號,121.24806064437,24.946512823291
桃園市中壢區仁美里3鄰金鋒四街10號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,10號,121.24790388001,24.946360775213
桃園市中壢區仁美里27鄰金鋒四街50巷10號,68,6800200,6800200-012,27鄰,金鋒四街,,50巷,,,,10號,121.24859858406,24.945641770207
桃園市中壢區仁美里3鄰金鋒四街11號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,11號,121.24811982216,24.946443747836
桃園市中壢區仁美里3鄰金鋒四街12號,68,6800200,6800200-012,3鄰,金鋒四街,,,,,,12號,121.2479622145,24.946315626464
