FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市中壢區復興里17鄰長樂二街2號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,2號,121.24947195034,24.97810381354
桃園市中壢區復興里16鄰長樂二街3號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,3號,121.24943286043,24.977973870749
桃園市中壢區復興里16鄰長樂二街5號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,5號,121.24936806451,24.977965492655
桃園市中壢區復興里17鄰長樂二街40巷5號,68,6800200,6800200-033,17鄰,長樂二街,,40巷,,,,5號,121.24862891749,24.977900190057
桃園市中壢區復興里17鄰長樂二街6號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,6號,121.24943052184,24.978091243269
桃園市中壢區復興里16鄰長樂二街7號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,7號,121.24934029898,24.977949920113
桃園市中壢區復興里17鄰長樂二街40巷7號,68,6800200,6800200-033,17鄰,長樂二街,,40巷,,,,7號,121.2486277607,24.977965286424
桃園市中壢區復興里17鄰長樂二街8號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,8號,121.24938543122,24.978080033374
桃園市中壢區復興里16鄰長樂二街9號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,9號,121.24929401581,24.977936725949
桃園市中壢區復興里17鄰長樂二街40巷9號,68,6800200,6800200-033,17鄰,長樂二街,,40巷,,,,9號,121.24862792696,24.978047985872
桃園市中壢區復興里17鄰長樂二街10號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,10號,121.24934369593,24.978062678564
桃園市中壢區復興里16鄰長樂二街11號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,11號,121.2492687963,24.977906613479
桃園市中壢區復興里17鄰長樂二街40巷11號,68,6800200,6800200-033,17鄰,長樂二街,,40巷,,,,11號,121.24863318466,24.97810124438
桃園市中壢區復興里17鄰長樂二街12號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,12號,121.24929524799,24.978056620427
桃園市中壢區復興里16鄰長樂二街13號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,13號,121.24920922825,24.977887392537
桃園市中壢區復興里17鄰長樂二街16號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,16號,121.24925361778,24.978042244773
桃園市中壢區復興里16鄰長樂二街17號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,17號,121.24902880385,24.977860789983
桃園市中壢區復興里17鄰長樂二街18號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,18號,121.24921189289,24.978030036071
桃園市中壢區復興里16鄰長樂二街19號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,19號,121.2490567752,24.977831039901
桃園市中壢區復興里17鄰長樂二街20號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,20號,121.24916115645,24.97801883556
桃園市中壢區復興里16鄰長樂二街21號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,21號,121.24896825444,24.977846084762
桃園市中壢區復興里17鄰長樂二街22號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,22號,121.24912736378,24.978010676316
桃園市中壢區復興里16鄰長樂二街23號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,23號,121.24891791521,24.977835334921
桃園市中壢區復興里16鄰長樂二街25號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,25號,121.24886470643,24.977826034396
桃園市中壢區復興里17鄰長樂二街26號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,26號,121.24909356293,24.977998454318
桃園市中壢區復興里16鄰長樂二街27號,68,6800200,6800200-033,16鄰,長樂二街,,,,,,27號,121.24882031294,24.977816628834
桃園市中壢區復興里17鄰長樂二街28號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,28號,121.24903727334,24.977984103133
桃園市中壢區復興里17鄰長樂二街30號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,30號,121.24899674328,24.977974962011
桃園市中壢區復興里17鄰長樂二街36號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,36號,121.24888853707,24.977953565201
桃園市中壢區復興里17鄰長樂二街38號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,38號,121.24883105292,24.977936236577
桃園市中壢區復興里17鄰長樂二街42號,68,6800200,6800200-033,17鄰,長樂二街,,,,,,42號,121.24867886489,24.977913107456
