FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
桃園市蘆竹區坑口里12鄰頭前1號,68,6800500,6800500-015,12鄰,頭前,,,,,,1號,121.27377052589,25.089996818963
桃園市蘆竹區坑口里12鄰頭前1之1號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之1號,121.2738817474,25.089767838939
桃園市蘆竹區坑口里12鄰頭前1之2號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之2號,121.27506369829,25.089857288804
桃園市蘆竹區坑口里12鄰頭前1之7號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之7號,121.27506713322,25.089885992133
桃園市蘆竹區坑口里12鄰頭前1之8號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之8號,121.27511365995,25.089810700912
桃園市蘆竹區坑口里12鄰頭前1之10號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之10號,121.27487054237,25.090021057294
桃園市蘆竹區坑口里12鄰頭前1之11號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之11號,121.27490668549,25.090001760254
桃園市蘆竹區坑口里12鄰頭前1之13號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之13號,121.27410870869,25.089692034296
桃園市蘆竹區坑口里12鄰頭前1之14號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之14號,121.2739769051,25.08976026013
桃園市蘆竹區坑口里12鄰頭前1之15號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之15號,121.2739341745,25.089893324516
桃園市蘆竹區坑口里12鄰頭前1之17號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之17號,121.27530040875,25.089486512761
桃園市蘆竹區坑口里12鄰頭前1之18號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之18號,121.27486650886,25.090123805754
桃園市蘆竹區坑口里12鄰頭前1之19號,68,6800500,6800500-015,12鄰,頭前,,,,,,1之19號,121.27481317965,25.089905602508
桃園市蘆竹區坑口里12鄰頭前2之3號,68,6800500,6800500-015,12鄰,頭前,,,,,,2之3號,121.2768708046,25.090640555228
桃園市蘆竹區坑口里12鄰頭前5之2號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之2號,121.26980381563,25.092436103514
桃園市蘆竹區坑口里12鄰頭前5之3號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之3號,121.26984367201,25.092527035343
桃園市蘆竹區坑口里12鄰頭前5之6號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之6號,121.27014142816,25.092315594602
桃園市蘆竹區坑口里12鄰頭前5之7號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之7號,121.26997010436,25.092583953876
桃園市蘆竹區坑口里12鄰頭前5之8號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之8號,121.27013928029,25.092782266457
桃園市蘆竹區坑口里12鄰頭前5之9號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之9號,121.27020229331,25.092582718653
桃園市蘆竹區坑口里12鄰頭前5之10號,68,6800500,6800500-015,12鄰,頭前,,,,,,5之10號,121.27000560012,25.092630384541
桃園市蘆竹區坑口里13鄰頭前7號,68,6800500,6800500-015,13鄰,頭前,,,,,,7號,121.2728848757,25.088910731961
桃園市蘆竹區坑口里13鄰頭前7之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之1號,121.27311320244,25.089093223372
桃園市蘆竹區坑口里13鄰頭前7之2號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之2號,121.27313235409,25.089056533594
桃園市蘆竹區坑口里13鄰頭前7之3號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之3號,121.27296260876,25.088869510633
桃園市蘆竹區坑口里13鄰頭前7之4號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之4號,121.27295909624,25.088805597377
桃園市蘆竹區坑口里13鄰頭前7之5號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之5號,121.27338224815,25.088682937529
桃園市蘆竹區坑口里13鄰頭前7之6號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之6號,121.27228771558,25.08924975485
桃園市蘆竹區坑口里13鄰頭前7之7號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之7號,121.27358200463,25.088723376858
桃園市蘆竹區坑口里13鄰頭前7之8號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之8號,121.27228533979,25.088758534368
桃園市蘆竹區坑口里13鄰頭前7之9號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之9號,121.27287180692,25.088963390452
桃園市蘆竹區坑口里13鄰頭前7之10號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之10號,121.27053140452,25.08656644271
桃園市蘆竹區坑口里13鄰頭前7之11號,68,6800500,6800500-015,13鄰,頭前,,,,,,7之11號,121.27219107494,25.087376668934
桃園市蘆竹區坑口里13鄰頭前8號,68,6800500,6800500-015,13鄰,頭前,,,,,,8號,121.27304338582,25.088412986052
桃園市蘆竹區坑口里13鄰頭前8之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之1號,121.27472750902,25.089011517247
桃園市蘆竹區坑口里13鄰頭前8之2號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之2號,121.27424559929,25.089237391669
桃園市蘆竹區坑口里13鄰頭前8之5號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之5號,121.27292240789,25.08777446279
桃園市蘆竹區坑口里13鄰頭前8之6號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之6號,121.2723659169,25.088165774816
桃園市蘆竹區坑口里13鄰頭前8之7號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之7號,121.27308248255,25.088697212404
桃園市蘆竹區坑口里13鄰頭前8之8號,68,6800500,6800500-015,13鄰,頭前,,,,,,8之8號,121.27144035856,25.088975856751
桃園市蘆竹區坑口里13鄰頭前10號,68,6800500,6800500-015,13鄰,頭前,,,,,,10號,121.27208691106,25.08501390596
桃園市蘆竹區坑口里13鄰頭前10之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,10之1號,121.27194368428,25.084801012368
桃園市蘆竹區坑口里13鄰頭前10之2號,68,6800500,6800500-015,13鄰,頭前,,,,,,10之2號,121.2716444022,25.084850493433
桃園市蘆竹區坑口里13鄰頭前10之3號,68,6800500,6800500-015,13鄰,頭前,,,,,,10之3號,121.27345621695,25.084181696169
桃園市蘆竹區坑口里14鄰頭前11之1號,68,6800500,6800500-015,14鄰,頭前,,,,,,11之1號,121.27187837242,25.08270026632
桃園市蘆竹區坑口里13鄰頭前12號,68,6800500,6800500-015,13鄰,頭前,,,,,,12號,121.27200256763,25.085203111375
桃園市蘆竹區坑口里13鄰頭前12之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,12之1號,121.27201354237,25.085144949563
桃園市蘆竹區坑口里13鄰頭前13號,68,6800500,6800500-015,13鄰,頭前,,,,,,13號,121.27172477901,25.085109636585
桃園市蘆竹區坑口里13鄰頭前14號,68,6800500,6800500-015,13鄰,頭前,,,,,,14號,121.27146663755,25.084889369204
桃園市蘆竹區坑口里13鄰頭前14之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,14之1號,121.27155799436,25.085362370743
桃園市蘆竹區坑口里13鄰頭前14之3號,68,6800500,6800500-015,13鄰,頭前,,,,,,14之3號,121.27157690039,25.0848100803
桃園市蘆竹區坑口里13鄰頭前15號,68,6800500,6800500-015,13鄰,頭前,,,,,,15號,121.27175487974,25.085362371447
桃園市蘆竹區坑口里13鄰頭前16號,68,6800500,6800500-015,13鄰,頭前,,,,,,16號,121.27180674004,25.085502394338
桃園市蘆竹區坑口里13鄰頭前16之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,16之1號,121.2718104699,25.085530374967
桃園市蘆竹區坑口里13鄰頭前17號,68,6800500,6800500-015,13鄰,頭前,,,,,,17號,121.27192142727,25.085810136573
桃園市蘆竹區坑口里13鄰頭前17之1號,68,6800500,6800500-015,13鄰,頭前,,,,,,17之1號,121.27107794305,25.086293154411
桃園市蘆竹區坑口里13鄰頭前17之2號,68,6800500,6800500-015,13鄰,頭前,,,,,,17之2號,121.271074377,25.086339475656
桃園市蘆竹區坑口里13鄰頭前17之3號,68,6800500,6800500-015,13鄰,頭前,,,,,,17之3號,121.27107506887,25.08638353207
桃園市蘆竹區坑口里13鄰頭前17之4號,68,6800500,6800500-015,13鄰,頭前,,,,,,17之4號,121.2710691099,25.086468679
桃園市蘆竹區坑口里13鄰頭前17之5號,68,6800500,6800500-015,13鄰,頭前,,,,,,17之5號,121.27066526871,25.08662443057
